,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year
145,Bloom Elementary School,Public,8310 E Pima St. ,Tucson,Pima,85715.0,Y,48,97.90%,97.90%,97.90%,100%,97.90%,2.10%,0.00%,2.10%,0.00%,0.00%,2015
146,Blue Ridge Elementary School,Public,1200 W White Mountain Blvd.,Lakeside,Navajo,85929.0,N,115,88.70%,87.80%,88.70%,90.40%,80.00%,9.60%,9.60%,9.60%,9.60%,9.60%,2015
147,Bonillas  Elementary School,Public,4757 E Winsett St. ,Tucson,Pima,85711.0,Y,68,98.50%,98.50%,98.50%,98.50%,98.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
148,Bonita Elementary School,Public,18008 S Ft Grant Rd.,Bonita,Graham,85643.0,N,<20,,,,,,,,,,,2015
149,Bonnie Brennan School,Public,100 Cochise Dr.,Winslow,Navajo,86047.0,N,143,95.10%,94.40%,95.80%,96.50%,88.10%,3.50%,4.20%,4.20%,2.80%,2.80%,2015
150,Booth-fickett Math/science Magnet School,Public,450 S Montego Dr.,Tucson,Pima,85710.0,Y,60,96.70%,96.70%,96.70%,96.70%,88.30%,3.30%,3.30%,3.30%,3.30%,3.30%,2015
151,Borman Elementary,Public,6630 Ligthning Dr.,Tucson,Pima,85708.0,N,105,99.00%,99.00%,99.00%,99.00%,68.60%,1.00%,1.00%,1.00%,1.00%,0.00%,2015
152,Borton Primary Magnet School,Public,700 E 22nd St.,Tucson,Pima,85713.0,Y,72,100%,100%,100%,98.60%,93.10%,0.00%,0.00%,0.00%,1.40%,1.40%,2015
153,Boulder Creek Elementary School (Mesa),Public,8045 E Portobello Ave.,Mesa,Maricopa,85212.0,Y,67,94.00%,94.00%,94.00%,92.50%,83.60%,6.00%,6.00%,6.00%,6.00%,4.50%,2015
154,Boulder Creek Elementary School (Phoenix),Public,22801 N 22nd St.,Phoenix,Maricopa,85024.0,Y,100,96.00%,97.00%,97.00%,96.00%,93.00%,4.00%,3.00%,3.00%,4.00%,3.00%,2015
155,Bouse Elementary School,Public,44936 Joshua Dr. ,Bouse,La Paz,85325.0,N,<20,,,,,,,,,,,2015
156,Bowie Unified School District,Public,P. O. Box 157,Bowie,Cochise,85605.0,N,<20,,,,,,,,,,,2015
157,Bret Tarver Elementary,Public,4308 N 51st Ave.,Phoenix,Maricopa,85031.0,Y,134,97.00%,98.50%,98.50%,99.30%,87.30%,1.50%,1.50%,1.50%,0.70%,0.00%,2015
158,Bridges Preschool And Kindergarten,Private,7570 South Willow Dr. ,Tempe,Maricopa,85283.0,N,<20,,,,,,,,,,,2015
159,Bright Beginnings School #1,Charter,400 N Andersen Blvd.,Chandler,Maricopa,85224.0,N,53,94.30%,94.30%,92.50%,94.30%,86.80%,5.70%,5.70%,7.50%,5.70%,5.70%,2015
160,Brinton Elementary,Public,11455 E Sunland Ave.,Mesa,Maricopa,85208.0,Y,67,92.50%,95.50%,95.50%,98.50%,89.60%,3.00%,3.00%,3.00%,1.50%,0.00%,2015
161,Broadmor Elementary,Public,311 E Aepli Dr. ,Tempe,Maricopa,85282.0,Y,92,92.40%,93.50%,94.60%,93.50%,82.60%,6.50%,6.50%,5.40%,6.50%,4.30%,2015
162,Brunson-lee Elementary School,Public,1350n. 48th St.,Phoenix,Maricopa,85008.0,Y,77,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
163,Buckeye Primary School,Public,210 S 6th St.,Buckeye,Maricopa,85326.0,Y,78,94.90%,97.40%,96.20%,98.70%,88.50%,5.10%,2.60%,3.80%,1.30%,0.00%,2015
164,Burk Elementary School,Public,545 North Burk St.,Gilbert,Maricopa,85234.0,Y,58,96.60%,96.60%,96.60%,98.30%,96.60%,3.40%,3.40%,3.40%,1.70%,0.00%,2015
165,Burke Basic Elementary School,Charter,131 East Southern Ave.,Mesa,Maricopa,85210.0,Y,143,95.10%,95.10%,95.10%,98.60%,95.80%,0.70%,0.70%,0.70%,0.70%,0.70%,2015
166,Butterfield Elementary School (Maricopa),Public,43800 W Honeycutt Rd.,Maricopa,Pinal,85239.0,Y,92,100%,100%,100%,100%,87.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
167,Butterfield Elementary School (Tucson),Public,3400 W Massingale Rd.,Tucson,Pima,85741.0,N,68,94.10%,98.50%,89.70%,95.60%,89.70%,1.50%,1.50%,1.50%,1.50%,1.50%,2015
168,C E Rose Elementary School,Public,710 W Michigan Dr.,Tucson,Pima,85714.0,Y,88,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
169,C. W. Mcgraw Elmentary School,Public,2345 Arizona Ave.,Yuma,Yuma,85364.0,N,76,96.10%,97.40%,97.40%,100%,89.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
170,C.i. Waggoner Elementary School,Public,1050 E Carver Rd.,Tempe,Maricopa,85284.0,N,95,91.60%,89.50%,88.40%,90.50%,77.90%,8.40%,10.50%,11.60%,9.50%,0.00%,2015
171,C.j. Jorgensen Elementary School,Public,1701 W. Roeser Rd.,Phoenix,Maricopa,85041.0,Y,62,98.40%,98.40%,98.40%,98.40%,90.30%,1.60%,1.60%,1.60%,1.60%,1.60%,2015
172,Cactus View Elementary School,Public,17602 N Central Ave.,Phoenix,Maricopa,85022.0,Y,99,96.00%,96.00%,96.00%,96.00%,84.80%,4.00%,4.00%,4.00%,4.00%,3.00%,2015
173,Cactus Wren Elementary School,Public,9650 N 39th Ave.,Phoenix,Maricopa,85051.0,N,50,98.00%,98.00%,98.00%,98.00%,96.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2015
174,Calabasas School,Public,131 Camino Maricopa,Rio Rico,Santa Cruz,85648.0,Y,66,98.50%,100%,100%,100%,97.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
175,Calibre Academy Surprise,Charter,15688 W Acoma Dr.,Surprise,Maricopa,85379.0,N,100,98.00%,99.00%,98.00%,99.00%,72.00%,2.00%,1.00%,2.00%,1.00%,1.00%,2015
176,Calvary Chapel Christian School,Private,8725 E Speedway Blvd.,Tucson,Pima,85710.0,N,<20,,,,,,,,,,,2015
177,Calvary Christian Academy,Private,1605 S. Mcculloch Blvd.,Lake Havasu City,Mohave,86403.0,N,23,91.30%,91.30%,78.30%,100%,78.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
178,Cambridge Academy - East,Charter,9412 E. Brown Rd.,Mesa,Maricopa,85207.0,N,32,93.80%,93.80%,93.80%,96.90%,100%,6.30%,6.30%,6.30%,3.10%,0.00%,2015
179,Cambridge Academy - Queen Creek,Charter,20365 E Ocotillo Rd.,Mesa,Maricopa,85207.0,N,32,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
180,Camelback Academy,Charter,7634 W Camelback Rd.,Glendale,Maricopa,85303.0,N,72,98.60%,98.60%,98.60%,98.60%,97.20%,1.40%,1.40%,1.40%,1.40%,1.40%,2015
181,Camelback Christian School,Private,3900 E Stanford Dr. ,Paradise Valley,Maricopa,85253.0,N,<20,,,,,,,,,,,2015
182,Camelback Desert School Elementary,Private,9606 E. Kalil Dr. ,Scottsdale,Maricopa,85260.0,N,<20,,,,,,,,,,,2015
183,Camino Montessori - Charter,Private,44301 W Maricopa/casa Grande Hwy,Maricopa,Pinal,85138.0,N,23,73.90%,73.90%,73.90%,73.90%,78.30%,26.10%,26.10%,26.10%,26.10%,17.40%,2015
184,Camp Verde Elementary School,Public,200 Camp Lincoln Rd.,Camp Verde,Yavapai,86322.0,Y,90,87.80%,92.20%,88.90%,94.40%,77.80%,8.90%,6.70%,7.80%,5.60%,6.70%,2015
185,Campo Bello Elementary School,Public,2650 E. Contention Mine Rd.,Phoenix,Maricopa,85032.0,Y,58,98.30%,100%,98.30%,100%,94.80%,0.00%,0.00%,1.70%,0.00%,0.00%,2015
186,Candeo Schools,Charter,9965 W Calle Lejos,Peoria,Maricopa,85383.0,N,76,86.80%,88.20%,85.50%,85.50%,82.90%,10.50%,11.80%,14.50%,14.50%,14.50%,2015
187,Canon School,Public,18800 E School House Rd.,Black Canyon City,Yavapai,85324.0,N,<20,,,,,,,,,,,2015
188,Canyon Breeze Elementary,Public,11675 W Encanto Blvd.,Avondale,Maricopa,85323.0,N,65,100%,96.90%,98.50%,98.50%,89.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
189,Canyon De Chelly Elementary School,Public,Hwy 191,Chinle,Apache,86503.0,N,51,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
190,Canyon Elementary,Public,5490 W Paradise Ln.,Glendale,Maricopa,85306.0,Y,21,85.70%,95.20%,81.00%,81.00%,81.00%,9.50%,4.80%,9.50%,9.50%,9.50%,2015
191,Canyon Pointe Academy,Charter,4941 W Union Hills Dr.,Glendale,Maricopa,85308.0,N,51,90.20%,90.20%,92.20%,92.20%,82.40%,9.80%,9.80%,7.80%,7.80%,7.80%,2015
192,Canyon Ridge Elementary,Public,17359 W Surprise Farms Loop,Surprise,Maricopa,85388.0,Y,78,87.20%,88.50%,88.50%,94.90%,57.70%,2.60%,2.60%,1.30%,1.30%,1.30%,2015
193,Canyon Rim Elementary,Public,3045 S Canyon Rim,Mesa,Maricopa,85212.0,Y,97,95.90%,95.90%,95.90%,94.80%,82.50%,4.10%,4.10%,4.10%,4.10%,4.10%,2015
194,Canyon Springs,Public,42901 N 45th Ave.,Phoenix,Maricopa,85087.0,Y,69,92.80%,92.80%,94.20%,94.20%,76.80%,5.80%,5.80%,5.80%,4.30%,4.30%,2015
195,Canyon View Elementary School,Public,5725 N Sabino Canyon Rd.,Tucson,Pima,85750.0,Y,49,100%,100%,98.00%,98.00%,83.70%,0.00%,0.00%,2.00%,0.00%,0.00%,2015
196,Capitol Elementary School,Public,330 N. 16th Ave.,Phoenix,Maricopa,85007.0,Y,69,98.60%,100%,100%,100%,97.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
197,Carden Christian Academy Center,Private,2727 N Swan Rd.,Tucson,Pima,85712.0,N,<20,,,,,,,,,,,2015
198,Carden Of Tucson,Charter,5260 N Royal Palm Dr.,Tucson,Pima,85705.0,Y,<20,,,,,,,,,,,2015
199,Career Success School - Sage Campus,Charter,3120 N 32nd St.,Phoenix,Maricopa,85018.0,N,37,89.20%,86.50%,91.90%,91.90%,70.30%,2.70%,2.70%,2.70%,2.70%,2.70%,2015
200,Carmichael Elementary School,Public,701 Ne Carmichael Ave.,Sierra Vista,Cochise,85635.0,Y,68,95.60%,95.60%,94.10%,95.60%,83.80%,4.40%,4.40%,4.40%,4.40%,1.50%,2015
201,Carminati Elementary School,Public,4001 South Mcallister Ave. ,Tempe,Maricopa,85282.0,Y,65,93.80%,93.80%,95.40%,95.40%,90.80%,3.10%,3.10%,3.10%,3.10%,3.10%,2015
202,Carol G. Peck Elementary School,Public,5810 N 49th Ave.,Glendale,Maricopa,85301.0,N,152,100%,98.00%,100%,96.70%,95.40%,0.00%,0.70%,0.00%,0.70%,0.00%,2015
203,Carol Rae Ranch Elementary,Public,3777 East Houston Ave.,Gilbert,Maricopa,85234.0,Y,57,94.70%,98.20%,96.50%,98.20%,100%,1.80%,1.80%,3.50%,1.80%,0.00%,2015
204,Carrillo Elementary,Public,440 S. Main Ave.,Tucson,Pima,85701.0,Y,45,95.60%,95.60%,95.60%,95.60%,93.30%,4.40%,4.40%,4.40%,4.40%,4.40%,2015
205,Cartwright Elementary School,Public,5833 W Thomas Rd.,Phoenix,Maricopa,85031.0,Y,89,97.80%,97.80%,97.80%,98.90%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
206,Casa Academy,Charter,1500 W Maryland Ave.,Phoenix,Maricopa,85015.0,N,52,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
207,Casa Blanca Community School-k,Private,3455 W. Casa Blanca Rd.,Bapchule,Pinal,85121.0,Y,47,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
208,Casa Ninos School Of Montessori,Private,8655 E Broadway Blvd.,Tucson,Pima,85710.0,Y,<20,,,,,,,,,,,2015
209,Casas Christian School,Private,10801 N La Cholla Blvd.,Tucson,Pima,85742.0,N,28,96.40%,85.70%,92.90%,92.90%,82.10%,3.60%,14.30%,7.10%,7.10%,3.60%,2015
210,Castlehill Country Day School,Private,3225 N. Craycroft Rd.,Tucson,Pima,85712.0,N,<20,,,,,,,,,,,2015
211,Catalina Ventura School,Public,6331 N 39th Ave.,Phoenix,Maricopa,85019.0,Y,76,94.70%,96.10%,96.10%,96.10%,93.40%,3.90%,3.90%,3.90%,3.90%,3.90%,2015
212,Caurus Academy,Charter,41900 S 42nd Ave.,Phoenix,Maricopa,85086.0,N,50,76.00%,76.00%,74.00%,80.00%,58.00%,16.00%,16.00%,16.00%,16.00%,16.00%,2015
213,Cave Creek Montessori,Private,29209 N. 56th St.,Cave Creek,Maricopa,85331.0,N,<20,,,,,,,,,,,2015
214,Cavett Elementary School,Public,2120 E Naco Vista Dr.,Tucson,Pima,85713.0,Y,39,94.90%,97.40%,97.40%,92.30%,97.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
215,Cedar Hills Elementary School,Public,9501 Nellie Dr. ,Kingman,Mohave,86401.0,Y,<20,,,,,,,,,,,2015
216,Centennial Elementary,Public,3507 S. Ranch House Parkway,Gilbert,Maricopa,85297.0,N,132,95.50%,94.70%,94.70%,94.70%,87.10%,4.50%,5.30%,5.30%,5.30%,5.30%,2015
217,Centennial Elementary School,Public,2200 W. Wetmore Rd.,Tucson,Pima,85705.0,N,53,98.10%,98.10%,98.10%,100%,94.30%,1.90%,1.90%,1.90%,0.00%,0.00%,2015
218,Center For Academic Success (Douglas),Charter,909 3rd St.,Douglas,Cochise,85607.0,N,28,89.30%,85.70%,92.90%,100%,75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
219,Center For Academic Success (Sierra Vista),Charter,900 Carmelita Dr. ,Sierra Vista,Cochise,85635.0,N,52,98.10%,98.10%,98.10%,98.10%,98.10%,1.90%,1.90%,1.90%,1.90%,1.90%,2015
220,Center For Educational Excellence,Charter,1700 E Elliot Rd. #9,Tempe,Maricopa,85284.0,N,48,91.70%,91.70%,91.70%,91.70%,68.80%,8.30%,8.30%,8.30%,8.30%,8.30%,2015
221,Centerra Mirage Stem Academy,Public,15151 W. Centerra Dr. ,Goodyear,Maricopa,85338.0,Y,63,100%,100%,100%,98.40%,81.00%,0.00%,0.00%,0.00%,1.60%,0.00%,2015
222,Cerbat Elementary School,Public,2689 E Jagerson Ave.,Kingman,Mohave,86409.0,Y,98,91.80%,91.80%,91.80%,91.80%,84.70%,7.10%,7.10%,7.10%,7.10%,7.10%,2015
223,Cesar Chavez Elementary School (Phoenix),Public,4001 S 3rd St.,Phoenix,Maricopa,85040.0,Y,43,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
224,Cesar Chavez Elementary School (San Luis),Public,1130 N. 10th Ave.,San Luis,Yuma,85349.0,Y,78,100%,100%,100%,100%,91.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
225,Challenge Charter School (Glendale),Charter,5801 W Greenbriar Dr.,Glendale,Maricopa,85308.0,N,95,87.40%,85.30%,86.30%,88.40%,80.00%,12.60%,14.70%,13.70%,11.60%,12.60%,2015
226,Challenger Basic School (Gilbert),Charter,1315 N Greenfield Rd.,Gilbert,Maricopa,85234.0,N,59,86.40%,83.10%,83.10%,84.70%,72.90%,13.60%,16.90%,16.90%,15.30%,13.60%,2015
227,Challenger Elementary,Public,901 E Calle Mayer,Nogales,Santa Cruz,85621.0,Y,75,98.70%,100%,100%,100%,92.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
228,Champion Schools (Chandler) ,Charter,250 S. Mcqueen Rd.,Chandler,Maricopa,85225.0,N,61,82.00%,80.30%,75.40%,95.10%,73.80%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
229,Champion Schools (Phoenix),Charter,7900 S Jesse Owens Pkwy,Phoenix,Maricopa,85042.0,N,58,82.80%,98.30%,81.00%,98.30%,79.30%,1.70%,1.70%,1.70%,1.70%,0.00%,2015
230,Chandler Christian Academy,Private,19620 South Mcqueen Rd.,Chandler,Maricopa,85286.0,N,<20,,,,,,,,,,,2015
231,Chandler Traditional Academy - Freedom Campus,Public,6040 S. Joslyn Ln.,Gilbert,Maricopa,85298.0,N,90,93.30%,93.30%,92.20%,94.40%,87.80%,6.70%,6.70%,7.80%,5.60%,5.60%,2015
232,Chandler Traditional Academy - Goodman Campus,Public,2600 W Knox Rd.,Chandler,Maricopa,85224.0,N,125,96.00%,95.20%,93.60%,93.60%,88.80%,4.00%,4.80%,4.80%,4.80%,1.60%,2015
233,Chandler Traditional Academy - Humphrey campus,Public,125 South 132nd St.,Chandler,Maricopa,85225.0,N,71,91.50%,93.00%,91.50%,93.00%,90.10%,8.50%,7.00%,8.50%,7.00%,8.50%,2015
234,Chandler Traditional Academy - Independence Campus,Public,1405 W Lake Dr.,Chandler,Maricopa,85248.0,N,123,95.10%,96.70%,95.10%,100%,96.70%,4.90%,3.30%,4.10%,0.00%,3.30%,2015
235,Chandler Traditional Academy - Liberty Campus,Public,550 North Emmett Dr. ,Chandler,Maricopa,85225.0,N,95,100%,96.80%,96.80%,96.80%,89.50%,0.00%,3.20%,3.20%,3.20%,2.10%,2015
236,Chaparral Elementary School (Gilbert),Public,3380 E Frye Rd.,Gilbert,Maricopa,85297.0,N,141,96.50%,96.50%,94.30%,95.00%,85.10%,3.50%,3.50%,5.70%,5.00%,2.80%,2015
237,Chaparral Elementary School (Phoenix),Public,3808 W Joan D`arc Ave. ,Phoenix,Maricopa,85029.0,N,77,94.80%,93.50%,96.10%,97.40%,89.60%,5.20%,6.50%,3.90%,2.60%,1.30%,2015
238,Charles A Bejarano Elementary School,Public,4635 B Ragus Rd. ,Miami,Gila,85539.0,N,80,93.80%,93.80%,93.80%,98.80%,90.00%,2.50%,2.50%,2.50%,1.30%,1.30%,2015
239,Charles W Harris Elementary School,Public,2252 N 55th Ave.,Phoenix,Maricopa,85035.0,Y,112,95.50%,97.30%,97.30%,99.10%,90.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
240,Charles W Sechrist Elementary School,Public,2230 N Ft Valley Rd.,Flagstaff,Coconino,86001.0,Y,76,88.20%,88.20%,90.80%,88.20%,85.50%,11.80%,11.80%,9.20%,11.80%,7.90%,2015
241,Charlotte Patterson Elementary,Public,7520 S Adora Blvd.,Gilbert,Maricopa,85298.0,N,115,94.80%,95.70%,94.80%,95.70%,73.90%,5.20%,4.30%,5.20%,4.30%,3.50%,2015
242,Cheatham Elementary School,Public,4725 W South Mountain Ave.,Laveen,Maricopa,85339.0,N,94,98.90%,98.90%,100%,97.90%,98.90%,0.00%,0.00%,0.00%,0.00%,1.10%,2015
243,Cherokee Elementary School,Public,8801 N 56th St.,Paradise Valley,Maricopa,85253.0,Y,95,86.30%,86.30%,82.10%,82.10%,78.90%,13.70%,13.70%,17.90%,17.90%,13.70%,2015
244,Cheyenne Elementary School,Public,11806 N. 87th Ave.,Peoria,Maricopa,85345.0,Y,57,94.70%,96.50%,96.50%,96.50%,94.70%,3.50%,3.50%,3.50%,3.50%,3.50%,2015
245,Cheyenne Traditional Elementary School,Public,11130 E Cholla St.,Scottsdale,Maricopa,85260.0,Y,89,98.90%,97.80%,97.80%,97.80%,89.90%,1.10%,2.20%,2.20%,2.20%,2.20%,2015
246,Children First Academy - Phoenix,Charter,1648 S 16th St.,Phoenix,Maricopa,85034.0,Y,23,100%,100%,100%,100%,82.60%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
247,Children First Academy Of Tempe,Charter,1938 E Apache Blvd.,Tempe,Maricopa,85281.0,N,24,95.80%,95.80%,83.30%,95.80%,83.30%,4.20%,4.20%,4.20%,4.20%,4.20%,2015
248,Children Reaching For The Sky Preparatory,Charter,1844 S Alvernon Way,Tucson,Pima,85711.0,N,29,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
249,Chinle Elemetary School,Public,P.O. Box 587,Chinle,Apache,86503.0,Y,60,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
250,Cholla Elementary School,Public,1180 E Kortsen Rd.,Casa Grande,Pinal,85222.0,Y,68,98.50%,100%,100%,100%,98.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
251,Christ Church School,Private,4015 E Lincoln Dr.,Paradise Valley,Maricopa,85253.0,N,<20,,,,,,,,,,,2015
252,Christ Lutheran School,Private,14420 S 8th St.,Phoenix,Maricopa,85048.0,Y,53,94.30%,94.30%,92.50%,92.50%,77.40%,5.70%,5.70%,7.50%,7.50%,3.80%,2015
253,Christ The King Catholic Elementary,Private,1551 East Dana Ave.,Mesa,Maricopa,85204.0,Y,21,90.50%,90.50%,95.20%,95.20%,90.50%,4.80%,4.80%,4.80%,4.80%,4.80%,2015
254,Christian Academy Of Prescott,Private,148 S Marina St.,Prescott,Yavapai,86303.0,N,<20,,,,,,,,,,,2015
255,Christ's Greenfield Lutheran School,Private,425 N Greenfield Rd.,Gilbert,Maricopa,85234.0,N,30,96.70%,96.70%,96.70%,96.70%,96.70%,3.30%,3.30%,3.30%,3.30%,3.30%,2015
256,Cibecue Community School,Private,P.O. Box 80068,Cibecue,Navajo,85911.0,N,57,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
257,Cimarron Springs Elementary,Public,17032 W Suprise Farms Loop S,Surprise,Maricopa,85388.0,Y,64,89.10%,90.60%,90.60%,90.60%,93.80%,9.40%,9.40%,7.80%,7.80%,6.30%,2015
258,Circle Cross Ranch K-8 School,Public,35900 N Charbray Dr. ,Queen Creek,Pinal,85132.0,Y,64,96.90%,96.90%,95.30%,95.30%,95.30%,0.00%,0.00%,0.00%,0.00%,1.60%,2015
259,Civano Community School,Charter,10625 E. Drexel Rd.,Tucson,Pima,85747.0,N,<20,,,,,,,,,,,2015
260,Clarkdale-jerome Elementary School,Public,1615 Main St.,Clarkdale,Yavapai,86324.0,N,44,84.10%,84.10%,81.80%,84.10%,77.30%,11.40%,11.40%,13.60%,13.60%,13.60%,2015
261,Clawson School,Public,1235 7th St.,Douglas,Cochise,85607.0,Y,48,97.90%,97.90%,97.90%,100%,97.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
262,Cloves Campbell,Public,2624 E South Mountain Ave.,Phoenix,Maricopa,85042.0,Y,48,95.80%,95.80%,95.80%,95.80%,95.80%,4.20%,4.20%,4.20%,4.20%,0.00%,2015
263,Cochise Elementary School (Cochise),Public,5025 N Bowie Ave.,Cochise,Cochise,85606.0,N,<20,,,,,,,,,,,2015
264,Cochise Elementary School (Scottsdale),Public,9451 North 84th St.,Scottsdale,Maricopa,85258.0,Y,97,92.80%,93.80%,95.90%,95.90%,86.60%,4.10%,4.10%,4.10%,4.10%,2.10%,2015
265,Collier Elementary School (Avondale),Public,350 S 118th Ave.,Avondale,Maricopa,85323.0,Y,93,97.80%,100%,100%,98.90%,87.10%,0.00%,0.00%,0.00%,0.00%,1.10%,2015
266,Collier Elementary School (Tucson),Public,3900 N Bear Canyon Rd,Tucson,Pima,85749.0,Y,35,94.30%,94.30%,91.40%,94.30%,85.70%,5.70%,5.70%,8.60%,5.70%,5.70%,2015
267,Colonel Johnston Elementary School,Private,47121 H Ave. ,Fort Huachuca,Cochise,85613.0,Y,98,98.00%,96.90%,96.90%,98.00%,95.90%,2.00%,3.10%,3.10%,2.00%,4.10%,2015
268,Combs Traditional Academy,Public,37327 N Gantzel Rd.,San Tan Valley,Pinal,85140.0,Y,53,94.30%,94.30%,94.30%,94.30%,90.60%,5.70%,5.70%,5.70%,5.70%,5.70%,2015
269,Concordia Charter School,Charter,142 N Date,Mesa,Maricopa,85201.0,N,<20,,,,,,,,,,,2015
270,Congregation Anshei Israel Esther B. Feldman Preschool/kindergarten,Private,5550 E. 5th St.,Tucson,Pima,85711.0,N,<20,,,,,,,,,,,2015
271,Congress Elementary School,Public,P.O. Box 68,Congress,Yavapai,85332.0,N,<20,,,,,,,,,,,2015
272,Constitution Elementary School,Public,18440 N 15th Ave.,Phoenix,Maricopa,85023.0,Y,98,91.80%,91.80%,93.90%,93.90%,90.80%,6.10%,5.10%,6.10%,5.10%,5.10%,2015
273,Continental Elementary School,Public,1991 E White House Canyon Rd.,Green Valley,Pima,85622.0,Y,53,98.10%,98.10%,98.10%,98.10%,98.10%,1.90%,1.90%,1.90%,1.90%,1.90%,2015
274,Copper Basin K-8,Public,28682 N Main St.,Queen Creek,Pinal,85232.0,Y,70,94.30%,94.30%,92.90%,97.10%,84.30%,2.90%,2.90%,2.90%,2.90%,1.40%,2015
275,Copper Canyon Elementary School,Public,17650 N. 54th St.,Scottsdale,Maricopa,85254.0,Y,107,98.10%,98.10%,98.10%,97.20%,83.20%,1.90%,1.90%,1.90%,2.80%,1.90%,2015
276,Copper Creek Elementary School (Glendale),Public,7071 W Hillcrest Blvd.,Glendale,Maricopa,85310.0,Y,93,94.60%,94.60%,93.50%,94.60%,91.40%,5.40%,5.40%,6.50%,5.40%,4.30%,2015
277,Copper Creek Elementary School (Tucson),Public,11620 N. Copper Spring Trl.,Tucson,Pima,85737.0,N,78,94.90%,94.90%,96.20%,94.90%,97.40%,5.10%,5.10%,3.80%,5.10%,1.30%,2015
278,Copper King Elementary,Public,10730 W Campbell Ave.,Phoenix,Maricopa,85037.0,Y,103,97.10%,97.10%,98.10%,97.10%,91.30%,2.90%,2.90%,1.90%,2.90%,0.00%,2015
279,Copper Ridge Elementary School,Public,10101 E. Thompson Peak Pkwy,Scottsdale,Maricopa,85255.0,Y,85,98.80%,97.60%,97.60%,96.50%,89.40%,1.20%,2.40%,2.40%,3.50%,2.40%,2015
280,Copper Rim Elementary School,Public,460 N. Willow St. ,Globe,Gila,85501.0,Y,126,97.60%,98.40%,97.60%,99.20%,96.80%,0.00%,1.60%,2.40%,0.80%,2.40%,2015
281,Copper Trails Elementary,Public,16875 W. Canyon Trails Blvd.,Goodyear,Maricopa,85338.0,Y,111,95.50%,95.50%,91.90%,98.20%,84.70%,4.50%,4.50%,8.10%,1.80%,0.00%,2015
282,Copper View Elementary School,Public,16200 S Starlight View Ln.,Sahuarita,Pima,85629.0,Y,85,98.80%,98.80%,96.50%,97.60%,98.80%,1.20%,1.20%,1.20%,1.20%,1.20%,2015
283,Copperwood Elementary School,Public,11232 N. 65th Ave.,Glendale,Maricopa,85304.0,Y,54,94.40%,96.30%,94.40%,96.30%,90.70%,1.90%,1.90%,1.90%,3.70%,1.90%,2015
284,Cordova Primary,Public,6615 North 39th Ave.,Phoenix,Maricopa,85019.0,N,108,96.30%,97.20%,98.10%,98.10%,93.50%,1.90%,1.90%,1.90%,1.90%,0.90%,2015
285,Cornerstone Christian Academy,Private,6450 N Camino Miraval,Tucson,Pima,85718.0,N,<20,,,,,,,,,,,2015
286,Coronado Elementary,Public,4333 S. De Anza Blvd.,Gilbert,Maricopa,85297.0,Y,82,96.30%,95.10%,96.30%,96.30%,74.40%,3.70%,4.90%,3.70%,3.70%,4.90%,2015
287,Coronado Elementary School (Saint Johns),Public,50 N Water St.,Saint Johns,Apache,85936.0,N,61,85.20%,85.20%,83.60%,90.20%,88.50%,14.80%,14.80%,16.40%,9.80%,0.00%,2015
288,Coronado Elementary School (Sierra Vista),Public,5148 Coronado School Dr.,Sierra Vista,Cochise,85615.0,Y,38,92.10%,92.10%,92.10%,92.10%,94.70%,7.90%,7.90%,7.90%,7.90%,5.30%,2015
