SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Duncan Elementary School,Public,N,,35,101 MCGRATH AVE,DUNCAN,AZ,85534,GREENLEE COUNTY,GREATER THAN,94.3%,0.0%,94.3%,85.7%,0.0%,85.7%,77.1%,0.0%,77.1%,94.3%,0.0%,94.3%,94.3%,0.0%,94.3%,100.0%,0.0%,100.0%,94.3%,0.0%,94.3%,0.0%,0.0%,0.0%
Dwight Patterson Elementary,Public,Y,RN,87,615 S CHESHIRE,MESA,AZ,85208,MARICOPA COUNTY,GREATER THAN,94.3%,5.7%,100.0%,92.0%,4.6%,96.6%,92.0%,5.7%,97.7%,95.4%,4.6%,100.0%,95.4%,4.6%,100.0%,95.4%,3.4%,98.9%,100.0%,0.0%,100.0%,6.9%,0.0%,0.0%
Dysart Elementary School,Public,Y,LPN,108,12950 W VARNEY RD,EL MIRAGE,AZ,85335,MARICOPA COUNTY,GREATER THAN,98.1%,1.9%,100.0%,96.3%,1.9%,100.0%,96.3%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
Eagle College Prep,Charter,N,,82,2450 W SOUTH MOUNTAIN AVE,PHOENIX,AZ,85041,MARICOPA COUNTY,GREATER THAN,97.6%,2.4%,100.0%,68.3%,7.3%,75.6%,68.3%,7.3%,75.6%,96.3%,2.4%,98.8%,96.3%,2.4%,98.8%,96.3%,2.4%,98.8%,96.3%,2.4%,98.8%,7.3%,0.0%,7.3%
Eagle College Prep Harmony,Charter,N,,32,2435 E PECAN RD,PHOENIX,AZ,85040,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,84.4%,0.0%,100.0%,84.4%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Eagle Ridge Elementary School,Public,Y,RN,77,19801 N 13TH ST,PHOENIX,AZ,85024,MARICOPA COUNTY,GREATER THAN,97.4%,2.6%,100.0%,93.5%,5.2%,100.0%,92.2%,5.2%,98.7%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,98.7%,1.3%,100.0%,97.4%,2.6%,100.0%,6.5%,0.0%,2.6%
Eagleridge Enrichment Program,Public,Y,RN,78,1313 W MEDINA AVE,MESA,AZ,85202,MARICOPA COUNTY,GREATER THAN,79.5%,20.5%,100.0%,62.8%,32.1%,100.0%,60.3%,39.7%,100.0%,79.5%,20.5%,100.0%,78.2%,21.8%,100.0%,79.5%,20.5%,100.0%,100.0%,0.0%,100.0%,34.6%,3.8%,0.0%
East Fork Lutheran School,Private,N,,< 20,4325 FORT APACHE RD,WHITERIVER,AZ,85941,NAVAJO COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Valley Academy,Charter,N,,< 20,1858 E BROWN RD,MESA,AZ,85203,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echo Mountain Intermediate School,Public,Y,RN,125,1811 E MICHIGAN AVE,PHOENIX,AZ,85022,MARICOPA COUNTY,GREATER THAN,98.4%,0.8%,99.2%,89.6%,8.0%,99.2%,89.6%,8.0%,99.2%,98.4%,0.8%,99.2%,99.2%,0.8%,100.0%,99.2%,0.8%,100.0%,100.0%,0.0%,100.0%,8.0%,0.8%,0.0%
Ed & Verma Pastor Elementary School,Public,Y,LPN,76,2101 W ALTA VISTA RD,PHOENIX,AZ,85041,MARICOPA COUNTY,GREATER THAN,98.7%,1.3%,100.0%,98.7%,0.0%,98.7%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,0.0%,98.7%,1.3%,0.0%,1.3%
Ed Pastor Elementary 4,Public,Y,LPN,38,985 N 6TH AVE,SAN LUIS,AZ,85349,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Edison Elementary School,Charter,Y,RN,99,545 N HORNE,MESA,AZ,85203,MARICOPA COUNTY,GREATER THAN,98.0%,0.0%,98.0%,92.9%,2.0%,99.0%,93.9%,2.0%,100.0%,98.0%,1.0%,99.0%,98.0%,0.0%,98.0%,97.0%,0.0%,97.0%,100.0%,0.0%,100.0%,4.0%,4.0%,0.0%
Edupreneurship Student Center (esc) Phoenix,Charter,N,,< 20,7310 N 27TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eduprize School,Charter,Y,RN,201,4567 W ROBERTS RD,QUEEN CREEK,AZ,85142,PINAL COUNTY,GREATER THAN,93.0%,2.5%,95.5%,87.1%,12.9%,100.0%,87.1%,12.9%,100.0%,92.5%,7.5%,100.0%,92.5%,7.5%,100.0%,94.0%,6.0%,100.0%,94.0%,6.0%,100.0%,10.9%,0.0%,5.0%
Eduprize School Gilbert,Charter,Y,RN,188,580 W MELODY AVE,GILBERT,AZ,85233,MARICOPA COUNTY,GREATER THAN,94.7%,5.3%,100.0%,91.0%,6.9%,97.9%,91.0%,6.9%,97.9%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,5.9%,0.0%,2.1%
Eisenhower Elementary School,Public,Y,RN,61,848 N MESA DR,MESA,AZ,85201,MARICOPA COUNTY,GREATER THAN,98.4%,1.6%,100.0%,95.1%,1.6%,100.0%,90.2%,1.6%,95.1%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,96.7%,1.6%,98.4%,98.4%,1.6%,100.0%,1.6%,0.0%,1.6%
El Dorado Private School K - 8,Private,N,,< 20,20624 N 76TH ST,SCOTTSDALE,AZ,85255,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Mirage Elementary,Public,Y,LPN,76,13500 N EL MIRAGE RD,EL MIRAGE,AZ,85335,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.4%,1.3%,98.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,1.3%,1.3%,0.0%
Elfrida Elementary School,Public,N,,< 20,4070 W JEFFERSON RD,ELFRIDA,AZ,85610,COCHISE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elgin Elementary School,Public,Y,RN,< 20,293 UPPER ELGIN RD,ELGIN,AZ,85611,SANTA CRUZ COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elite Performance Academy - Cusd #80,Public,N,,33,1825 S ALMA SCHOOL RD,CHANDLER,AZ,85286,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,84.8%,15.2%,100.0%,84.8%,15.2%,100.0%,97.0%,3.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.0%,3.0%,100.0%,15.2%,0.0%,0.0%
Ellsworth Elementary,Public,N,,108,1651 E PIMA RD,SAN TAN VALLEY,AZ,85140,PINAL COUNTY,GREATER THAN,97.2%,2.8%,100.0%,79.6%,6.5%,86.1%,81.5%,6.5%,88.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,94.4%,1.9%,96.3%,9.3%,0.0%,1.9%
Eloy Junior High School,Public,N,,98,404 E PHOENIX AVE,ELOY,AZ,85131,PINAL COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,99.0%,0.0%,99.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Elvira Elementary,Public,Y,RN,78,250 W ELVIRA RD,TUCSON,AZ,85756,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Emerson,Public,Y,,108,415 N WESTWOOD,MESA,AZ,85201,MARICOPA COUNTY,GREATER THAN,99.1%,0.9%,100.0%,99.1%,0.0%,99.1%,97.2%,1.9%,99.1%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,100.0%,0.0%,100.0%,0.9%,2.8%,0.0%
Emmanuel Christian Academy,Private,N,,< 20,3120 HUALAPAI MOUNTAIN RD,KINGMAN,AZ,86401,MOHAVE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emmanuel Lutheran School,Private,N,,< 20,715 W SOUTHERN AVE,TEMPE,AZ,85282,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emmaus Lutheran School,Private,N,,< 20,3841 W SWEETWATER AVE,PHOENIX,AZ,85029,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empower College Prep,Charter,N,,106,5757 N CENTRAL AVE,PHOENIX,AZ,85012,MARICOPA COUNTY,GREATER THAN,94.3%,0.0%,94.3%,63.2%,0.0%,63.2%,63.2%,0.0%,63.2%,98.1%,0.0%,98.1%,94.3%,4.7%,99.1%,97.2%,0.0%,97.2%,95.3%,0.0%,95.3%,0.0%,0.9%,0.0%
Entz Elementary School,Public,Y,RN,92,4132 E ADOBE ST,MESA,AZ,85205,MARICOPA COUNTY,GREATER THAN,94.6%,5.4%,100.0%,90.2%,7.6%,98.9%,91.3%,6.5%,98.9%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,96.7%,3.3%,100.0%,94.6%,5.4%,100.0%,15.2%,0.0%,2.2%
Esmond Station School,Public,N,,56,9400 S ATTERBURY WASH WAY,TUCSON,AZ,85747,PIMA COUNTY,GREATER THAN,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
Esperanza Elementary School,Public,Y,,74,251 W MOHAWK LN,PHOENIX,AZ,85027,MARICOPA COUNTY,GREATER THAN,91.9%,4.1%,95.9%,91.9%,4.1%,95.9%,91.9%,4.1%,95.9%,94.6%,4.1%,98.6%,95.9%,4.1%,100.0%,94.6%,4.1%,98.6%,95.9%,4.1%,100.0%,4.1%,0.0%,0.0%
Esperanza Elementary School,Public,Y,RN,84,2353 E BANTAM RD,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,98.8%,1.2%,100.0%,98.8%,0.0%,98.8%,98.8%,0.0%,98.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,1.2%,0.0%
Esperero Canyon Middle School,Public,Y,RN,202,5801 N SABINO CANYON RD,TUCSON,AZ,85750,PIMA COUNTY,GREATER THAN,97.5%,2.5%,100.0%,92.6%,5.4%,99.0%,91.6%,7.4%,100.0%,96.0%,4.0%,100.0%,95.5%,3.5%,99.0%,97.0%,2.5%,99.5%,96.0%,4.0%,100.0%,5.4%,1.0%,2.0%
Estrella Middle School,Public,Y,RN,465,3733 N 75TH AVE,PHOENIX,AZ,85033,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,92.7%,0.4%,93.8%,92.9%,0.6%,94.2%,99.8%,0.2%,100.0%,99.4%,0.6%,100.0%,100.0%,0.0%,100.0%,99.4%,0.6%,100.0%,0.6%,0.2%,0.0%
Estrella Mountain Elementary School,Public,N,,67,10301 S SAN MIGUEL AVE,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,98.5%,1.5%,100.0%,92.5%,4.5%,100.0%,92.5%,4.5%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,4.5%,0.0%,1.5%
Estrella Vista Elementary,Public,Y,RN,111,11905 W COCOPAH CIR,AVONDALE,AZ,85323,MARICOPA COUNTY,GREATER THAN,99.1%,0.9%,100.0%,93.7%,4.5%,100.0%,93.7%,4.5%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,100.0%,0.0%,100.0%,7.2%,0.0%,0.0%
Ethos Academy,Charter,N,,< 20,7614 N 43RD AVE,GLENDALE,AZ,85301,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evans Learning Center,Private,N,,< 20,4525 S COLLEGE AVE,TEMPE,AZ,85282,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Excelencia School,Public,Y,LPN,104,2181 E MCDOWELL RD,PHOENIX,AZ,85006,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,97.1%,0.0%,100.0%,97.1%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Fairbanks Middle School,Public,N,,97,1056 FAIRBANKS RD,MORENCI,AZ,85540,GREENLEE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,96.9%,1.0%,97.9%,100.0%,0.0%,100.0%,99.0%,1.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,1.0%,0.0%
Faith Christian Academy,Private,N,,< 20,2555 W VALENCIA RD,TUCSON,AZ,85746,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faith Christian School,Private,N,,< 20,6659 E UNIVERSITY DR,MESA,AZ,85205,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faith Community Acad,Private,N,,< 20,2551 W ORANGE GROVE RD,TUCSON,AZ,85741,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faith Lutheran Church And School And Preschool,Private,N,,< 20,3925 E 5TH ST,TUCSON,AZ,85711,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falcon Hill Elementary School,Public,N,,82,1645 N STERLING,MESA,AZ,85207,MARICOPA COUNTY,GREATER THAN,96.3%,0.0%,96.3%,90.2%,8.5%,100.0%,90.2%,9.8%,100.0%,95.1%,4.9%,100.0%,96.3%,3.7%,100.0%,97.6%,2.4%,100.0%,96.3%,3.7%,100.0%,9.8%,3.7%,9.8%
Family Life Academy,Private,N,,< 20,530 S PANTANO RD,TUCSON,AZ,85710,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fees Middle School,Public,Y,RN,263,1600 E WATSON DR,TEMPE,AZ,85283,MARICOPA COUNTY,GREATER THAN,99.2%,0.8%,100.0%,93.9%,0.8%,100.0%,93.5%,0.8%,99.6%,99.2%,0.8%,100.0%,99.2%,0.8%,100.0%,98.9%,0.8%,99.6%,99.2%,0.8%,100.0%,1.1%,0.0%,0.8%
Festival Foothills Elementary School,Public,N,,34,26252 W DESERT VISTA BLVD,BUCKEYE,AZ,85396,MARICOPA COUNTY,GREATER THAN,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,2.9%,0.0%,2.9%
Field Elementary,Public,Y,RN,93,2325 E ADOBE ST,MESA,AZ,85213,MARICOPA COUNTY,GREATER THAN,97.8%,2.2%,100.0%,97.8%,1.1%,100.0%,95.7%,4.3%,100.0%,100.0%,0.0%,100.0%,98.9%,1.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.2%,2.2%,2.2%
Fine Arts Academy,Public,Y,LPN,56,1700 S. 103RD AVENUE,TOLLESON,AZ,85353,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,92.9%,0.0%,92.9%,0.0%,0.0%,0.0%
Finley Farms Elementary,Public,Y,RN,90,375 S COLUMBUS DR,GILBERT,AZ,85296,MARICOPA COUNTY,GREATER THAN,95.6%,4.4%,100.0%,81.1%,10.0%,97.8%,85.6%,8.9%,97.8%,93.3%,6.7%,100.0%,95.6%,4.4%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,10.0%,0.0%,3.3%
Fireside Elementary School,Public,Y,RN,90,3725 E LONE CACTUS DR,PHOENIX,AZ,85050,MARICOPA COUNTY,GREATER THAN,90.0%,10.0%,100.0%,84.4%,15.6%,100.0%,85.6%,14.4%,100.0%,92.2%,7.8%,100.0%,90.0%,10.0%,100.0%,90.0%,10.0%,100.0%,93.3%,6.7%,100.0%,14.4%,0.0%,14.4%
First Avenue Elementary School,Public,N,,42,914 N FIRST AVE,SAN MANUEL,AZ,85631,PINAL COUNTY,GREATER THAN,78.6%,0.0%,78.6%,21.4%,0.0%,21.4%,19.0%,0.0%,19.0%,78.6%,0.0%,78.6%,81.0%,0.0%,81.0%,78.6%,0.0%,78.6%,83.3%,0.0%,83.3%,0.0%,0.0%,0.0%
First Baptist Christian Academy,Private,N,,23,1447 S 7TH ST,SIERRA VISTA,AZ,85635,COCHISE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.3%,0.0%,0.0%
First Southern Christian School,Private,N,,< 20,445 E SPEEDWAY BLVD,TUCSON,AZ,85705,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flagstaff Junior Academy Middle School,Charter,N,,43,755 N BONITO ST,FLAGSTAFF,AZ,86001,COCONINO COUNTY,GREATER THAN,88.4%,11.6%,100.0%,88.4%,11.6%,100.0%,83.7%,16.3%,100.0%,83.7%,16.3%,100.0%,83.7%,16.3%,100.0%,83.7%,16.3%,100.0%,90.7%,9.3%,100.0%,20.9%,0.0%,11.6%
Florence K-8,Public,Y,,74,460 S PARK ST,FLORENCE,,85232,PINAL COUNTY,GREATER THAN,97.3%,0.0%,97.3%,67.6%,0.0%,67.6%,33.8%,2.7%,36.5%,97.3%,0.0%,97.3%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,94.6%,0.0%,94.6%,2.7%,0.0%,0.0%
Foothills Academy College Preparatory,Charter,N,,26,7191 E ASHLER HILLS DR,SCOTTSDALE,AZ,85266,MARICOPA COUNTY,GREATER THAN,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,92.3%,3.8%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,3.8%,0.0%,3.8%
Foothills Elementary,Public,Y,RN,59,15808 N 63RD AVE,GLENDALE,AZ,85306,MARICOPA COUNTY,GREATER THAN,98.3%,1.7%,100.0%,98.3%,0.0%,100.0%,96.6%,0.0%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,100.0%,0.0%,100.0%,1.7%,0.0%,0.0%
Fort Thomas Elementary,Public,Y,RN,43,15560 W ELEMENTARY SCHOOL ROAD,FORT THOMAS,AZ,85536,GRAHAM COUNTY,GREATER THAN,100.0%,0.0%,100.0%,97.7%,0.0%,100.0%,95.3%,0.0%,97.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Fountain Hills Charter School - Glenbrook,Charter,N,,< 20,16751 E GLENBROOK BLVD,FOUNTAIN HILLS,AZ,85268,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fountain Hills Middle School,Public,N,,133,15414 N MCDOWELL MOUNTAIN RD,FOUNTAIN HILLS,AZ,85268,MARICOPA COUNTY,GREATER THAN,96.2%,3.8%,100.0%,92.5%,7.5%,100.0%,91.0%,9.0%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,9.0%,0.0%,3.0%
