SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Ellsworth Elementary,Public,N,,89,1651 E PIMA RD,SAN TAN VALLEY,AZ,85140,PINAL COUNTY,GREATER THAN,88.8%,6.7%,95.5%,93.3%,5.6%,98.9%,88.8%,5.6%,94.4%,93.3%,5.6%,98.9%,94.4%,0.0%,94.4%,6.7%,0.0%,5.6%
Elvira Elementary,Public,Y,RN,81,250 W ELVIRA RD,TUCSON,AZ,85756,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Emerson,Public,Y,,121,415 N WESTWOOD,MESA,AZ,85201,MARICOPA COUNTY,GREATER THAN,89.3%,9.9%,99.2%,96.7%,2.5%,99.2%,97.5%,2.5%,100.0%,95.0%,4.1%,99.2%,98.3%,1.7%,100.0%,1.7%,9.9%,1.7%
Emmanuel Christian Academy,Private,N,,≤ 20,3120 HUALAPAI MOUNTAIN RD,KINGMAN,AZ,86401,MOHAVE COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emmanuel Lutheran School,Private,N,,≤ 20,715 W SOUTHERN AVE,TEMPE,AZ,85282,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emmaus Lutheran School,Private,N,,≤ 20,3841 W SWEETWATER AVE,PHOENIX,AZ,85029,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Enchanted Home Montessori School,Private,N,,≤ 20,5452 W WHISPERING WIND DR,GLENDALE,AZ,85310,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Entz Elementary School,Public,Y,RN,87,4132 E ADOBE ST,MESA,AZ,85205,MARICOPA COUNTY,GREATER THAN,86.2%,13.8%,100.0%,86.2%,13.8%,100.0%,86.2%,13.8%,100.0%,85.1%,14.9%,100.0%,85.1%,14.9%,100.0%,14.9%,0.0%,12.6%
Esmond Station School,Public,N,,56,9400 S ATTERBURY WASH WAY,TUCSON,AZ,85747,PIMA COUNTY,GREATER THAN,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
Esperanza Elementary School,Public,Y,RN,98,2353 E BANTAM RD,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,1.0%,0.0%,1.0%
Esperanza Elementary School,Public,N,,121,3025 W MCDOWELL RD,PHOENIX,AZ,85009,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Esperanza Elementary School,Public,Y,,97,251 W MOHAWK LN,PHOENIX,AZ,85027,MARICOPA COUNTY,GREATER THAN,89.7%,7.2%,96.9%,91.8%,7.2%,99.0%,91.8%,7.2%,99.0%,93.8%,5.2%,99.0%,93.8%,6.2%,100.0%,9.3%,0.0%,0.0%
Estrella Mountain Elementary School,Public,N,,34,10301 S SAN MIGUEL AVE,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,2.9%,0.0%
Estrella Vista Elementary,Public,Y,RN,96,11905 W COCOPAH CIR,AVONDALE,AZ,85323,MARICOPA COUNTY,GREATER THAN,95.8%,4.2%,100.0%,99.0%,1.0%,100.0%,96.9%,3.1%,100.0%,99.0%,1.0%,100.0%,100.0%,0.0%,100.0%,3.1%,2.1%,1.0%
Ethos Academy,Charter,N,,38,7614 N 43RD AVE,GLENDALE,AZ,85301,MARICOPA COUNTY,GREATER THAN,76.3%,5.3%,81.6%,78.9%,5.3%,84.2%,76.3%,5.3%,81.6%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,5.3%,0.0%,0.0%
Eva Marshall Elementary School,Public,Y,RN,91,850 N BONITO ST,FLAGSTAFF,AZ,86001,COCONINO COUNTY,GREATER THAN,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,2.2%,0.0%,2.2%
Evergreen Elementary School,Public,Y,RN,67,1000 N AMARILLO,CASA GRANDE,,85222,PINAL COUNTY,GREATER THAN,97.0%,0.0%,97.0%,98.5%,0.0%,98.5%,97.0%,1.5%,98.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.5%,0.0%,0.0%
Excelencia School,Public,Y,LPN,83,2181 E MCDOWELL RD,PHOENIX,AZ,85006,MARICOPA COUNTY,GREATER THAN,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,95.2%,2.4%,97.6%,97.6%,2.4%,100.0%,2.4%,0.0%,2.4%
F.o.holaway Elementary School,Public,N,,67,3500 N CHERRY AVE,TUCSON,AZ,85719,PIMA COUNTY,GREATER THAN,98.5%,1.5%,100.0%,97.0%,1.5%,98.5%,97.0%,1.5%,98.5%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,1.5%,1.5%,1.5%
Faith Christian School,Private,N,,≤ 20,6659 E UNIVERSITY DR,MESA,AZ,85205,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Faith Community Acad,Private,N,,≤ 20,2551 W ORANGE GROVE RD,TUCSON,AZ,85741,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Faith Lutheran Church And School And Preschool,Private,N,,≤ 20,3925 E 5TH ST,TUCSON,AZ,85711,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Falcon Hill Elementary School,Public,N,,72,1645 N STERLING,MESA,AZ,85207,MARICOPA COUNTY,GREATER THAN,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,93.1%,6.9%,100.0%,95.8%,4.2%,100.0%,94.4%,5.6%,100.0%,8.3%,0.0%,4.2%
Family Life Academy,Private,N,,25,530 S PANTANO RD,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,92.0%,8.0%,100.0%,92.0%,8.0%,100.0%,92.0%,8.0%,100.0%,88.0%,12.0%,100.0%,92.0%,8.0%,100.0%,12.0%,0.0%,8.0%
Family Of Christ Early Education Center Kindergarten,Private,N,,≤ 20,3501 E CHANDLER BLVD,PHOENIX,AZ,85048,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Faras Elementary School,Public,Y,RN,32,410 W FIR AVE,DOUGLAS,AZ,85607,COCHISE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Festival Foothills Elementary School,Public,N,,30,26252 W DESERT VISTA BLVD,BUCKEYE,AZ,85396,MARICOPA COUNTY,GREATER THAN,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,90.0%,10.0%,100.0%,93.3%,6.7%,100.0%,10.0%,0.0%,6.7%
Field Elementary,Public,Y,RN,73,2325 E ADOBE ST,MESA,AZ,85213,MARICOPA COUNTY,GREATER THAN,94.5%,5.5%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,4.1%,0.0%,4.1%
Fine Arts Academy,Public,Y,LPN,48,1700 S. 103RD AVENUE,TOLLESON,AZ,85353,MARICOPA COUNTY,GREATER THAN,83.3%,0.0%,83.3%,83.3%,0.0%,83.3%,81.3%,0.0%,81.3%,83.3%,0.0%,83.3%,85.4%,0.0%,85.4%,0.0%,0.0%,0.0%
Finley Farms Elementary,Public,Y,RN,97,375 S COLUMBUS DR,GILBERT,AZ,85296,MARICOPA COUNTY,GREATER THAN,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,5.2%,0.0%,2.1%
Fireside Elementary School,Public,Y,RN,105,3725 E LONE CACTUS DR,PHOENIX,AZ,85050,MARICOPA COUNTY,GREATER THAN,91.4%,8.6%,100.0%,86.7%,13.3%,100.0%,89.5%,10.5%,100.0%,85.7%,14.3%,100.0%,94.3%,5.7%,100.0%,13.3%,0.0%,13.3%
First Avenue Elementary School,Public,N,,34,914 N FIRST AVE,SAN MANUEL,AZ,85631,PINAL COUNTY,GREATER THAN,58.8%,0.0%,58.8%,58.8%,0.0%,58.8%,55.9%,0.0%,55.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
First Baptist Christian Academy,Private,N,,≤ 20,1447 S 7TH ST,SIERRA VISTA,AZ,85635,COCHISE COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
First Southern Christian School,Private,N,,≤ 20,445 E SPEEDWAY BLVD,TUCSON,AZ,85705,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flagstaff Junior Academy Elementary Campus,Charter,N,,≤ 20,306 W CEDAR AVE,FLAGSTAFF,AZ,86001,COCONINO COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flora Thew Elementary School,Public,Y,RN,82,2130 E HOWE AVE,TEMPE,AZ,85281,MARICOPA COUNTY,GREATER THAN,95.1%,0.0%,95.1%,95.1%,0.0%,95.1%,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Florence K-8,Public,Y,,84,460 S PARK ST,FLORENCE,,85232,PINAL COUNTY,GREATER THAN,79.8%,6.0%,85.7%,79.8%,6.0%,85.7%,76.2%,6.0%,82.1%,89.3%,6.0%,95.2%,91.7%,6.0%,97.6%,6.0%,0.0%,6.0%
Foothills Academy College Preparatory,Charter,N,,≤ 20,7191 E ASHLER HILLS DR,SCOTTSDALE,AZ,85266,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Foothills Elementary,Public,Y,RN,70,158080 N. 63RD AVE,GLENDALE,AZ,85306,MARICOPA COUNTY,GREATER THAN,94.3%,4.3%,98.6%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,97.1%,2.9%,100.0%,95.7%,4.3%,100.0%,4.3%,0.0%,4.3%
Ford Elementary School,Public,Y,RN,65,8001 E STELLA RD,TUCSON,AZ,85730,PIMA COUNTY,GREATER THAN,90.8%,1.5%,92.3%,95.4%,1.5%,96.9%,96.9%,1.5%,98.5%,92.3%,1.5%,93.8%,98.5%,1.5%,100.0%,1.5%,0.0%,1.5%
Fort Mohave Elementary School,Public,Y,RN,115,1760 E JOY LN,FORT MOHAVE,AZ,86426,MOHAVE COUNTY,GREATER THAN,93.0%,1.7%,94.8%,93.9%,1.7%,95.7%,94.8%,1.7%,96.5%,94.8%,1.7%,96.5%,97.4%,1.7%,99.1%,1.7%,0.0%,0.0%
Fort Thomas Elementary,Public,Y,RN,32,15560 W ELEMENTARY SCHOOL ROAD,FORT THOMAS,AZ,85536,GRAHAM COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Foundation For Blind Children,Private,Y,RN,≤ 20,1234 E NORTHERN AVE,PHOENIX,AZ,85020,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fountain Hills Charter School - Glenbrook,Charter,N,,≤ 20,16751 E GLENBROOK BLVD,FOUNTAIN HILLS,AZ,85268,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Four Peaks Elementary School,Public,Y,RN,93,1785 N IDAHO RD,APACHE JUNCTION,AZ,85119,PINAL COUNTY,GREATER THAN,92.5%,6.5%,98.9%,94.6%,5.4%,100.0%,93.5%,6.5%,100.0%,94.6%,5.4%,100.0%,95.7%,4.3%,100.0%,6.5%,0.0%,0.0%
Fowler Elementary,Public,N,,94,6707 W VAN BUREN ST,PHOENIX,AZ,85043,MARICOPA COUNTY,GREATER THAN,91.5%,8.5%,100.0%,92.6%,7.4%,100.0%,93.6%,6.4%,100.0%,94.7%,5.3%,100.0%,98.9%,0.0%,98.9%,2.1%,2.1%,0.0%
Frances Brandon Pickett Elementary,Public,Y,RN,114,22076 VILLAGE LOOP,QUEEN CREEK,AZ,85142,MARICOPA COUNTY,GREATER THAN,95.6%,4.4%,100.0%,96.5%,3.5%,100.0%,94.7%,5.3%,100.0%,97.4%,2.6%,100.0%,96.5%,3.5%,100.0%,5.3%,1.8%,1.8%
Frances J Warren Elementary School,Public,Y,RN,52,3505 W MILTON RD,TUCSON,AZ,85746,PIMA COUNTY,GREATER THAN,96.2%,0.0%,96.2%,98.1%,0.0%,98.1%,96.2%,0.0%,96.2%,98.1%,0.0%,98.1%,100.0%,0.0%,100.0%,0.0%,1.9%,0.0%
Frank Borman Middle School,Public,Y,LPN,106,3637 N 55TH AVE,PHOENIX,AZ,85031,MARICOPA COUNTY,GREATER THAN,97.2%,0.0%,97.2%,98.1%,0.0%,98.1%,99.1%,0.0%,99.1%,98.1%,0.0%,98.1%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Frank School,Public,Y,RN,74,8409 S AVENIDA DEL YAQUI,GUADALUPE,AZ,85283,MARICOPA COUNTY,GREATER THAN,95.9%,2.7%,98.6%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,2.7%,0.0%,2.7%
Franklin At Alma Elementary,Public,Y,RN,62,1313 W MEDINA AVE,MESA,AZ,85202,MARICOPA COUNTY,GREATER THAN,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,3.2%,0.0%,0.0%
Franklin East Elementary,Public,Y,RN,118,1753 E 8TH AVE,MESA,AZ,85204,MARICOPA COUNTY,GREATER THAN,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,93.2%,6.8%,100.0%,96.6%,3.4%,100.0%,5.9%,0.8%,3.4%
Franklin Elementary At Brimhall,Public,Y,RN,138,4949 E SOUTHERN AVE,MESA,AZ,85206,MARICOPA COUNTY,GREATER THAN,91.3%,8.7%,100.0%,92.8%,7.2%,100.0%,92.0%,8.0%,100.0%,93.5%,6.5%,100.0%,100.0%,0.0%,100.0%,11.6%,0.7%,0.0%
Franklin Phonetic Primary School,Charter,N,,52,6116 E HIGHWAY 69,PRESCOTT VALLEY,AZ,86314,YAVAPAI COUNTY,GREATER THAN,94.2%,3.8%,98.1%,98.1%,0.0%,98.1%,94.2%,3.8%,98.1%,94.2%,5.8%,100.0%,96.2%,3.8%,100.0%,3.8%,5.8%,0.0%
Franklin Phonetic School Sunnyslope,Charter,N,,≤ 20,9317 N 2ND ST,PHOENIX,AZ,85020,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Franklin West Elementary,Public,Y,RN,87,236 S SIRRINE,MESA,AZ,85210,MARICOPA COUNTY,GREATER THAN,88.5%,9.2%,97.7%,89.7%,8.0%,97.7%,90.8%,9.2%,100.0%,92.0%,8.0%,100.0%,100.0%,0.0%,100.0%,8.0%,0.0%,0.0%
Fredonia Elementary School,Public,N,,≤ 20,222 N 200 EAST,FREDONIA,AZ,86022,COCONINO COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freedom Academy North,Charter,N,,≤ 20,28700 N PIMA RD,SCOTTSDALE,AZ,85266,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Freedom Academy, Inc",Charter,N,,48,3916 E PARADISE LN,PHOENIX,AZ,85032,MARICOPA COUNTY,GREATER THAN,85.4%,14.6%,100.0%,85.4%,14.6%,100.0%,85.4%,14.6%,100.0%,85.4%,14.6%,100.0%,100.0%,0.0%,100.0%,14.6%,0.0%,0.0%
Freedom Elementary School,Public,Y,LPN,57,22150 W SUNDANCE PKWY,BUCKEYE,AZ,85326,MARICOPA COUNTY,GREATER THAN,96.5%,1.8%,98.2%,98.2%,0.0%,98.2%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
Friendly House Academia Del Pueblo Elem,Charter,N,,50,201 E DURANGO ST,PHOENIX,AZ,85004,MARICOPA COUNTY,GREATER THAN,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,0.0%
Frontier Elementary School,Public,Y,RN,89,21258 N 81ST AVE,PEORIA,AZ,85382,MARICOPA COUNTY,GREATER THAN,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,5.6%,0.0%,0.0%
Fruchthendler Elementary School,Public,Y,RN,60,7470 E CLOUD RD,TUCSON,AZ,85750,PIMA COUNTY,GREATER THAN,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,3.3%,0.0%,3.3%
Frye Elementary School,Public,N,,76,801 E FRYE RD,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,96.1%,3.9%,100.0%,98.7%,1.3%,100.0%,97.4%,2.6%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,2.6%,1.3%,0.0%
Fuller Elementary School,Public,Y,RN,120,1975 E CORNELL DR,TEMPE,AZ,85283,MARICOPA COUNTY,GREATER THAN,99.2%,0.0%,99.2%,99.2%,0.8%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,2.5%,0.8%,1.7%
G Frank Davidson,Public,Y,LPN,110,6935 W OSBORN RD,PHOENIX,AZ,85033,MARICOPA COUNTY,GREATER THAN,97.3%,0.0%,97.3%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,1.8%,0.0%,1.8%
G.p.s. - Playa Del Rey Elementary,Public,Y,RN,69,550 N HORNE ST,GILBERT,AZ,85233,MARICOPA COUNTY,GREATER THAN,94.2%,4.3%,98.6%,95.7%,4.3%,100.0%,94.2%,4.3%,98.6%,95.7%,4.3%,100.0%,98.6%,1.4%,100.0%,5.8%,0.0%,1.4%
Gadsden Elementary School,Public,Y,LPN,61,PO BOX 6870,SAN LUIS,AZ,85349,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Gale Elementary School,Public,Y,RN,62,678 S GOLLOB RD,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Gallego Primary Fine Arts Magnet,Public,Y,RN,114,6200 S HEMISPHERE PL,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,99.1%,0.0%,99.1%,99.1%,0.0%,99.1%,99.1%,0.0%,99.1%,99.1%,0.0%,99.1%,99.1%,0.0%,99.1%,0.0%,0.0%,0.0%
Galveston Elementary School,Public,N,,84,661 E GALVESTON ST,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,98.8%,0.0%,98.8%,100.0%,0.0%,100.0%,98.8%,0.0%,98.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Ganado Primary School,Public,N,,69,US-191 & AZ-264,GANADO,AZ,86505,APACHE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.6%,0.0%,98.6%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Garden Lakes Elementary School,Public,Y,LPN,78,10825 W GARDEN LAKES PKWY,AVONDALE,AZ,85392,MARICOPA COUNTY,GREATER THAN,94.9%,5.1%,100.0%,96.2%,3.8%,100.0%,94.9%,5.1%,100.0%,97.4%,2.6%,100.0%,100.0%,5.1%,105.1%,5.1%,0.0%,5.1%
Garfield School,Public,Y,RN,60,811 N 13TH ST,PHOENIX,AZ,85006,MARICOPA COUNTY,GREATER THAN,98.3%,0.0%,98.3%,95.0%,0.0%,95.0%,98.3%,0.0%,98.3%,98.3%,0.0%,98.3%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Gary A Knox Elementary,Public,Y,RN,90,2926 S 21ST DR,YUMA,AZ,85364,YUMA COUNTY,GREATER THAN,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,1.1%,0.0%,1.1%
Gateway Pointe Elementary,Public,N,,97,2069 S DELATORRE DR,HIGLEY,AZ,85236,MARICOPA COUNTY,GREATER THAN,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,4.1%,0.0%,3.1%
Gateway Polytechnic Academy,Public,N,,137,5149 S SIGNAL BUTTE RD,MESA,AZ,85212,MARICOPA COUNTY,GREATER THAN,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,94.9%,5.1%,100.0%,96.4%,3.6%,100.0%,97.8%,2.2%,100.0%,5.1%,0.0%,2.2%
Gateway School,Public,Y,RN,69,1100 N 35TH ST,PHOENIX,AZ,85008,MARICOPA COUNTY,GREATER THAN,98.6%,1.4%,100.0%,100.0%,0.0%,100.0%,98.6%,1.4%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.4%,0.0%,0.0%
Gavilan Peak Elementary,Public,Y,RN,37,2701 W MEMORIAL DR,ANTHEM,AZ,85086,MARICOPA COUNTY,GREATER THAN,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,2.7%,0.0%,0.0%
Gem Charter School,Charter,N,,≤ 20,1704 N CENTER ST,MESA,AZ,85201,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
George Washington Carver Elementary School,Public,Y,RN,59,1341 W 5TH ST,YUMA,AZ,85364,YUMA COUNTY,GREATER THAN,98.3%,0.0%,98.3%,96.6%,0.0%,96.6%,96.6%,0.0%,96.6%,100.0%,0.0%,100.0%,94.9%,0.0%,94.9%,0.0%,0.0%,0.0%
Gethsemane Lutheran School,Private,N,,≤ 20,1035 E GUADALUPE RD,TEMPE,AZ,85283,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gila Crossing Elementary School,Private,Y,RN,61,4408 W PECOS RD,LAVEEN,AZ,85339,MARICOPA COUNTY,GREATER THAN,96.7%,0.0%,96.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Gilbert Arts Academy,Charter,N,,≤ 20,862 E ELLIOT RD,GILBERT,AZ,85234,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gilbert Christian Elementary And Middle Sch,Private,N,,45,1424 S PROMENADE LN,GILBERT,AZ,85296,MARICOPA COUNTY,GREATER THAN,84.4%,15.6%,100.0%,82.2%,17.8%,100.0%,77.8%,22.2%,100.0%,82.2%,17.8%,100.0%,84.4%,15.6%,100.0%,15.6%,2.2%,15.6%
Gilbert Elementary School Kg,Public,Y,RN,72,175 W ELLIOT RD,GILBERT,AZ,85233,MARICOPA COUNTY,GREATER THAN,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,97.2%,2.8%,100.0%,95.8%,4.2%,100.0%,100.0%,0.0%,100.0%,4.2%,0.0%,2.8%
Gladden Farms Elementary,Public,N,,83,11745 W GLADDEN FARMS DR,MARANA,AZ,85653,PIMA COUNTY,GREATER THAN,97.6%,1.2%,98.8%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,96.4%,1.2%,97.6%,98.8%,1.2%,100.0%,1.2%,0.0%,1.2%
