SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MCMVC,PCT_EXEMPT_MCMVC,PCT_COMPLIANCE_MCMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
BEAVER CREEK SCHOOL,4810 E BEAVER CREEK RD,RIMROCK,YAVAPAI,86335,NO,,PUBLIC,34,100%,0%,100%,85%,3%,88%,82%,6%,88%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,6%,0%,0%
BEAVER DAM ELEMENTARY,3436 EAST RIO VIRGIN ROAD,BEAVER DAM,MOHAVE,86432,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BELLA VISTA ELEMENTARY SCHOOL,801 N LENZNER AVE,SIERRA VISTA,COCHISE,85635,YES,RN,PUBLIC,59,98%,2%,100%,97%,2%,98%,98%,0%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,2%,0%
BELLAIR ELEMENTARY SCHOOL,4701 W GROVERS AVE,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,70,97%,3%,100%,93%,7%,100%,91%,9%,100%,99%,1%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,10%,0%,6%
BENCHMARK SCHOOL,4120 E ACOMA DR,PHOENIX,MARICOPA,85032,NO,,CHARTER,55,100%,0%,100%,20%,0%,20%,20%,0%,20%,100%,0%,100%,85%,0%,85%,96%,0%,96%,96%,0%,96%,0%,0%,0%
BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,22120 E. QUEEN CREEK RD,QUEEN CREEK,MARICOPA,85142,YES,RN,CHARTER,77,90%,10%,100%,68%,32%,100%,68%,32%,100%,92%,8%,100%,92%,8%,100%,94%,6%,100%,94%,6%,100%,35%,0%,4%
BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,320 E WARNER RD,GILBERT,MARICOPA,85296,YES,RN,CHARTER,78,95%,5%,100%,74%,24%,100%,74%,24%,100%,94%,6%,100%,92%,8%,100%,95%,5%,100%,96%,4%,100%,28%,0%,4%
BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,22951 S POWER RD,GILBERT,MARICOPA,85298,YES,RN,CHARTER,98,82%,18%,100%,73%,23%,100%,73%,23%,100%,80%,20%,100%,81%,19%,100%,82%,18%,100%,86%,14%,100%,30%,0%,15%
BENNETT ACADEMY,2930 W BETHANY HOME RD,PHOENIX,MARICOPA,85017,NO,,CHARTER,46,98%,2%,100%,85%,7%,96%,87%,7%,98%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,7%,0%,2%
BENSON PRIMARY SCHOOL,360 S PATAGONIA ST,BENSON,COCHISE,85602,NO,,PUBLIC,109,95%,5%,100%,91%,6%,100%,77%,6%,86%,95%,5%,100%,94%,5%,100%,95%,5%,100%,95%,5%,100%,5%,0%,5%
BERNARD BLACK ELEMENTARY,6550 S 27TH AVE,PHOENIX,MARICOPA,85041,YES,RN,PUBLIC,87,94%,3%,100%,93%,3%,97%,93%,3%,97%,95%,3%,100%,95%,3%,100%,95%,3%,100%,95%,3%,99%,3%,0%,3%
BETHANY CHRISTIAN SCHOOL,6304 S PRICE RD,TEMPE,MARICOPA,85283,YES,RN,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BICENTENNIAL NORTH SCHOOL,7237 W MISSOURI AVE,GLENDALE,MARICOPA,85303,YES,RN,PUBLIC,174,98%,1%,98%,98%,1%,100%,95%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
BIG PARK COMMUNITY SCHOOL,25 W SADDLEHORN CT,SEDONA,YAVAPAI,86351,NO,,PUBLIC,34,68%,18%,85%,68%,18%,85%,68%,18%,85%,76%,15%,91%,79%,15%,94%,76%,15%,91%,79%,15%,94%,18%,0%,15%
BILTMORE PREPARATORY ACADEMY,4601 N 34TH ST,PHOENIX,MARICOPA,85018,NO,,PUBLIC,55,96%,0%,100%,96%,4%,100%,91%,4%,95%,96%,4%,100%,96%,4%,100%,100%,0%,100%,96%,4%,100%,4%,0%,13%
BISBEE MIDDLE SCHOOL,519 MELODY LN,BISBEE,COCHISE,,NO,,CHARTER,40,95%,5%,100%,93%,3%,98%,88%,8%,98%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,10%,5%,5%
BLACK MOUNTAIN ELEMENTARY SCHOOL,3404 N SANTA MARIA RD,GOLDEN VALLEY,MOHAVE,86413,YES,LPN,PUBLIC,63,95%,5%,100%,92%,8%,100%,92%,8%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,8%,0%,0%
BLACK MOUNTAIN ELEMENTARY SCHOOL,33016 N 60TH ST,CAVE CREEK,MARICOPA,85327,YES,RN,PUBLIC,75,99%,1%,100%,81%,15%,99%,81%,16%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,97%,3%,100%,17%,0%,0%
BLUE RIDGE ELEMENTARY SCHOOL,1200 W WHITE MOUNTAIN BLVD,LAKESIDE,NAVAJO,85929,NO,,PUBLIC,169,98%,2%,100%,69%,2%,71%,68%,2%,70%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
BOOTH-FICKETT MATH/SCIENCE MAGNET SCHOOL,450 S MONTEGO DR,TUCSON,PIMA,85710,YES,RN,PUBLIC,161,100%,0%,100%,99%,1%,99%,98%,1%,99%,100%,0%,100%,99%,0%,99%,99%,0%,99%,100%,0%,100%,1%,1%,0%
BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),TUCSON,PIMA,85708,YES,RN,PUBLIC,40,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
BOULDER CREEK ELEMENTARY,8045 E PORTOBELLO AVE,MESA,MARICOPA,85212,YES,RN,PUBLIC,93,97%,3%,100%,92%,5%,100%,92%,5%,100%,97%,3%,100%,97%,3%,100%,96%,3%,100%,98%,2%,100%,6%,0%,2%
BOULDER CREEK ELEMENTARY SCHOOL,22801 N 22ND ST,PHOENIX,MARICOPA,85024,YES,RN,PUBLIC,110,98%,1%,100%,99%,1%,100%,99%,1%,100%,97%,2%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,6%,0%,0%
BRIDGES ELEMENTARY SCHOOL,5205 S SOBOBA ST,GILBERT,MARICOPA,85298,YES,LPN,PUBLIC,85,99%,1%,100%,94%,1%,100%,91%,5%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,2%,2%,1%
BRIGHT BEGINNINGS SCHOOL #1,400 N ANDERSEN BLVD,CHANDLER,MARICOPA,85224,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRUNSON-LEE ELEMENTARY SCHOOL,1350 N 48TH ST,PHOENIX,MARICOPA,85008,NO,,PUBLIC,36,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,0%,0%,3%
BUCKEYE PRIMARY SCHOOL,210 S 6TH ST,BUCKEYE,MARICOPA,85326,YES,LPN,PUBLIC,82,99%,1%,100%,96%,4%,100%,96%,4%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,4%,0%,1%
BULLHEAD CITY JR HIGH SCHOOL,1062 HANCOCK RD,BULLHEAD CITY,MOHAVE,86442,YES,LPN,PUBLIC,136,96%,3%,99%,96%,3%,99%,96%,3%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,3%,0%,1%
BURK ELEMENTARY SCHOOL,545 N BURK ST,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,55,98%,2%,100%,95%,4%,100%,96%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,4%,0%,0%
BURKE BASIC SCHOOL,131 E SOUTHERN AVE,MESA,MARICOPA,85210,YES,LPN,CHARTER,81,100%,0%,100%,86%,0%,96%,86%,0%,96%,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,1%,0%
BUTTERFIELD ELEMENTARY SCHOOL,3400 W MASSINGALE RD,TUCSON,PIMA,85741,NO,,PUBLIC,81,98%,2%,100%,88%,5%,95%,83%,7%,93%,98%,2%,100%,98%,2%,100%,96%,4%,100%,98%,2%,100%,5%,4%,4%
C E ROSE ELEMENTARY SCHOOL,710 W MICHIGAN DR,TUCSON,PIMA,85714,YES,RN,PUBLIC,86,100%,0%,100%,100%,0%,100%,84%,0%,84%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
C J JORGENSEN SCHOOL,1701 W ROESER RD,PHOENIX,MARICOPA,85041,YES,LPN,PUBLIC,56,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,18%,0%,0%
C O GREENFIELD SCHOOL,7009 S 10TH ST,PHOENIX,MARICOPA,85042,NO,,PUBLIC,145,100%,0%,100%,99%,0%,99%,99%,0%,100%,98%,0%,98%,99%,0%,99%,98%,0%,98%,100%,0%,100%,3%,3%,3%
C.C.U.S.D.#93 - HORSESHOE TRAILS ELEMENTARY,5405 EAST PINNACLE VISTA DR,PHOENIX,MARICOPA,85085,NO,,PUBLIC,125,94%,6%,100%,76%,10%,89%,74%,10%,86%,91%,9%,100%,88%,12%,100%,92%,8%,100%,88%,12%,100%,17%,0%,6%
C.U.S.D.#80 - RIGGS ELEMENTARY - SCHOOL-AGE/PRESCHOOL,6930 SOUTH SEVILLE BOULEVARD WEST,GILBERT,MARICOPA,85298,NO,,PUBLIC,146,96%,4%,100%,86%,12%,100%,84%,13%,100%,95%,5%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,14%,0%,3%
CACTUS MIDDLE SCHOOL,1220 E KORTSEN RD,CASA GRANDE,PINAL,85222,YES,RN,PUBLIC,286,98%,2%,100%,97%,2%,100%,97%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,3%,0%,2%
CACTUS VIEW ELEMENTARY SCHOOL,17602 N CENTRAL AVE,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,103,94%,4%,100%,96%,4%,100%,97%,3%,100%,95%,5%,100%,97%,3%,100%,98%,2%,100%,97%,3%,100%,4%,0%,1%
CACTUS WREN ELEMENTARY SCHOOL,9650 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,78,99%,1%,100%,95%,4%,100%,95%,4%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,4%,1%,1%
CALABASAS SCHOOL,131 CAMINO MARICOPA,RIO RICO,SANTA CRUZ,85648,YES,LPN,PUBLIC,115,98%,1%,100%,97%,1%,100%,96%,1%,100%,98%,1%,100%,99%,1%,100%,98%,1%,100%,98%,1%,99%,1%,0%,1%
CALIBRE ACADEMY SURPRISE,15688 W ACOMA DR,SURPRISE,MARICOPA,85379,NO,,CHARTER,55,98%,2%,100%,93%,2%,98%,91%,2%,98%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,0%,0%,2%
CALVARY CHAPEL CHRISTIAN SCHOOL,8725 E SPEEDWAY BLVD,TUCSON,PIMA,85710,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAMBRIDGE ACADEMY - MESA CAMPUS,9412 E BROWN RD,MESA,MARICOPA,85207,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAMBRIDGE ACADEMY - QUEEN CREEK,20365 E OCOTILLO RD,MESA,MARICOPA,85207,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAMELBACK ACADEMY,7634 W CAMELBACK RD,GLENDALE,MARICOPA,85303,NO,,CHARTER,59,100%,0%,100%,95%,0%,95%,93%,0%,93%,100%,0%,100%,98%,0%,98%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CAMP VERDE MIDDLE SCHOOL,370 CAMP LINCOLN RD,CAMP VERDE,YAVAPAI,86322,YES,RN,PUBLIC,107,93%,6%,100%,68%,11%,80%,65%,11%,78%,95%,5%,100%,95%,5%,100%,96%,4%,100%,93%,7%,100%,11%,0%,4%
CAMPO BELLO ELEMENTARY SCHOOL,2650 E CONTENTION MINE RD,PHOENIX,MARICOPA,85032,YES,RN,PUBLIC,67,99%,0%,100%,94%,1%,99%,93%,1%,97%,99%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,1%,0%,0%
CANDEO SCHOOLS,9965 W CALLE LEJOS,PEORIA,MARICOPA,85383,NO,,CHARTER,57,98%,2%,100%,93%,4%,96%,93%,4%,96%,98%,2%,100%,96%,4%,100%,93%,5%,100%,96%,4%,100%,4%,0%,2%
CANON SCHOOL,18800 E SCHOOL HOUSE RD,BLACK CANYON CITY,YAVAPAI,85324,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CANYON BREEZE ELEMENTARY,11675 W ENCANTO BLVD,AVONDALE,MARICOPA,85392,NO,,PUBLIC,93,98%,2%,100%,100%,0%,100%,91%,0%,100%,99%,0%,99%,98%,0%,98%,98%,0%,98%,100%,0%,100%,2%,0%,0%
CANYON DE CHELLY ELEMENTARY SCHOOL,HWY 191,CHINLE,APACHE,86503,NO,,PUBLIC,36,100%,0%,100%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CANYON ELEMENTARY SCHOOL,5490 W PARADISE LN,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,47,94%,6%,100%,79%,6%,85%,74%,9%,83%,87%,11%,98%,94%,6%,100%,94%,6%,100%,98%,2%,100%,11%,0%,2%
CANYON POINTE ACADEMY,4941 W UNION HILLS DR,GLENDALE,MARICOPA,85308,NO,,CHARTER,31,100%,0%,100%,84%,6%,100%,81%,10%,100%,100%,0%,100%,97%,3%,100%,100%,0%,100%,100%,0%,100%,10%,0%,0%
CANYON RIDGE ELEMENTARY,17359 WEST SURPRISE FARMS LOOP NORTH,SURPRISE,MARICOPA,85388,YES,RN,PUBLIC,96,97%,3%,100%,89%,9%,100%,88%,10%,100%,95%,5%,100%,94%,6%,100%,97%,3%,100%,96%,4%,100%,10%,1%,5%
CANYON RIM ELEMENTARY,3045 S CANYON RIM,MESA,MARICOPA,85212,YES,RN,PUBLIC,126,96%,4%,100%,88%,10%,99%,88%,11%,99%,96%,4%,100%,97%,3%,100%,95%,5%,100%,96%,4%,100%,13%,0%,2%
CANYON SPRINGS,42901 N 45TH AVE,ANTHEM,MARICOPA,85087,YES,RN,PUBLIC,94,96%,2%,98%,93%,3%,97%,94%,3%,98%,97%,1%,98%,98%,1%,99%,96%,1%,97%,98%,1%,99%,2%,1%,1%
CAPITOL ELEMENTARY SCHOOL,330 N 16TH AVE,PHOENIX,MARICOPA,85007,YES,RN,PUBLIC,64,100%,0%,100%,98%,0%,98%,98%,0%,98%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CAPPS ELEMENTARY SCHOOL,3375 BUCKSKIN CANYON RD,HEBER,NAVAJO,85928,YES,RN,PUBLIC,40,90%,10%,100%,63%,10%,75%,60%,10%,73%,93%,8%,100%,90%,8%,98%,93%,8%,100%,93%,8%,100%,10%,0%,8%
CAREER SUCCESS SCHOOL - SAGE CAMPUS,3120 N 32ND ST,PHOENIX,MARICOPA,85018,NO,,CHARTER,23,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CARMICHAEL ELEMENTARY SCHOOL,701 NE CARMICHAEL AVE,SIERRA VISTA,COCHISE,85635,YES,RN,PUBLIC,59,97%,3%,100%,97%,3%,100%,93%,3%,97%,95%,3%,98%,97%,3%,100%,98%,2%,100%,98%,2%,100%,3%,0%,3%
CAROL RAE RANCH ELEMENTARY,3777 E HOUSTON AVE,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,89,98%,2%,100%,99%,1%,100%,97%,2%,99%,99%,1%,100%,99%,1%,100%,98%,2%,100%,98%,2%,100%,4%,0%,1%
CARPE DIEM COLLEGIATE E-LEARNING COMMUNITY,3777 W 22ND LN,YUMA,YUMA,85364,NO,,CHARTER,46,100%,0%,100%,98%,0%,98%,98%,0%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CARTWRIGHT ELEMENTARY SCHOOL,5833 W THOMAS RD,PHOENIX,MARICOPA,85031,YES,LPN,PUBLIC,114,99%,1%,100%,95%,1%,100%,94%,1%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
CASA GRANDE MIDDLE SCHOOL,300 W MC MURRAY BLVD,CASA GRANDE,PINAL,85222,YES,RN,PUBLIC,230,100%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CASAS CHRISTIAN SCHOOL,10801 N LA CHOLLA BLVD,TUCSON,PIMA,85742,NO,,PRIVATE,24,88%,13%,100%,83%,13%,96%,88%,13%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,13%,0%,13%
CASTLE DOME MIDDLE SCHOOL,2353 S OTONDO DR,YUMA,YUMA,85365,NO,,PUBLIC,286,98%,1%,100%,97%,2%,100%,97%,2%,100%,98%,1%,100%,99%,1%,100%,98%,1%,100%,99%,1%,100%,3%,0%,1%
CATALINA VENTURA SCHOOL,6331 N 39TH AVE,PHOENIX,MARICOPA,85019,YES,RN,PUBLIC,154,99%,1%,100%,90%,3%,95%,90%,3%,95%,98%,1%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,3%,1%,1%
CAURUS ACADEMY,41900 S 42ND AVE,PHOENIX,MARICOPA,85086,NO,,CHARTER,37,86%,14%,100%,76%,16%,92%,70%,16%,86%,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,16%,0%,14%
CENTENNIAL ELEMENTARY SCHOOL,3507 S RANCH HOUSE PKWY,GILBERT,MARICOPA,85297,NO,,PUBLIC,142,97%,3%,100%,92%,6%,100%,92%,6%,100%,98%,2%,100%,99%,1%,100%,96%,4%,100%,98%,2%,100%,6%,0%,1%
CENTENNIAL ELEMENTARY SCHOOL,2200 W WETMORE RD,TUCSON,PIMA,85705,NO,,PUBLIC,78,97%,3%,100%,96%,4%,100%,95%,5%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,1%
CENTER FOR ACADEMIC SUCCESS #3,919 3RD ST,DOUGLAS,COCHISE,85607,NO,,CHARTER,59,97%,0%,97%,88%,0%,97%,75%,0%,81%,95%,0%,95%,95%,0%,95%,95%,0%,95%,98%,0%,98%,0%,0%,0%
CENTER FOR ACADEMIC SUCCESS #5,900 CARMELITA DR,SIERRA VISTA,COCHISE,85635,NO,,CHARTER,36,94%,6%,100%,92%,6%,97%,92%,6%,97%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,6%,0%,6%
CENTER FOR EDUCATIONAL EXCELLENCE,1700 E ELLIOT RD,TEMPE,MARICOPA,85284,NO,,CHARTER,39,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,0%,0%,5%
CENTERRA MIRAGE ELEMENTARY,15151 WEST CENTERRA DRIVE SOUTH,GOODYEAR,MARICOPA,85338,YES,LPN,PUBLIC,70,97%,1%,100%,96%,1%,100%,94%,3%,100%,97%,1%,100%,99%,0%,100%,99%,0%,100%,99%,1%,100%,4%,1%,1%
CESAR CHAVEZ ELEMENTARY,1130 N 10TH AVE,SAN LUIS,YUMA,85349,YES,LPN,PUBLIC,112,100%,0%,100%,99%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CESAR E CHAVEZ COMMUNITY SCHOOL,4001 S 3RD ST,PHOENIX,MARICOPA,85040,NO,,PUBLIC,63,100%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CHALLENGE CHARTER SCHOOL,5801 W GREENBRIAR DR,GLENDALE,MARICOPA,85308,NO,,CHARTER,42,100%,0%,100%,88%,10%,100%,88%,10%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,10%,0%,0%
CHALLENGER BASIC SCHOOL,1315 N GREENFIELD RD,GILBERT,MARICOPA,85234,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHALLENGER MIDDLE SCHOOL,6905 W MARYLAND AVE,GLENDALE,MARICOPA,85303,YES,LPN,PUBLIC,130,85%,0%,85%,100%,0%,100%,95%,4%,100%,96%,4%,100%,98%,0%,100%,98%,0%,98%,100%,0%,100%,4%,0%,4%
CHAMPION CHANDLER,250 S MCQUEEN RD,CHANDLER,MARICOPA,85225,NO,,CHARTER,64,98%,0%,98%,92%,3%,98%,92%,3%,98%,92%,3%,95%,95%,3%,98%,97%,0%,98%,100%,0%,100%,3%,0%,0%
CHAMPION SCHOOLS,7900 S JESSE OWENS PKWY,PHOENIX,MARICOPA,85042,NO,,CHARTER,67,78%,0%,78%,79%,0%,84%,78%,0%,82%,96%,0%,96%,100%,0%,100%,99%,0%,99%,100%,0%,100%,0%,0%,0%
CHANDLER PREPARATORY ACADEMY,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,RN,CHARTER,135,96%,4%,100%,94%,4%,100%,94%,4%,100%,96%,4%,100%,96%,4%,100%,95%,5%,100%,96%,4%,100%,7%,0%,3%
CHANDLER TRADITIONAL ACADEMY - FREEDOM,6040 SOUTH JOSLYN LANE,GILBERT,MARICOPA,85298,NO,,PUBLIC,104,94%,6%,100%,88%,7%,100%,88%,8%,100%,93%,7%,100%,91%,9%,100%,90%,10%,100%,94%,6%,100%,12%,0%,5%
CHANDLER TRADITIONAL ACADEMY - GOODMAN CAMPUS,2600 W KNOX RD,CHANDLER,MARICOPA,85224,NO,,PUBLIC,77,100%,0%,100%,91%,4%,100%,91%,4%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,5%,0%,0%
CHANDLER TRADITIONAL ACADEMY - INDEPENDENCE,1405 W LAKE DR,CHANDLER,MARICOPA,85248,NO,,PUBLIC,74,99%,1%,100%,91%,8%,100%,91%,8%,100%,99%,1%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,12%,0%,0%
CHANDLER TRADITIONAL ACADEMY - LIBERTY CAMPUS,550 N EMMETT DR,CHANDLER,MARICOPA,85225,NO,,PUBLIC,66,98%,2%,100%,82%,17%,100%,82%,17%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,23%,0%,2%
CHANDLER TRADITIONAL JUNIOR HIGH SCHOOL,191 W OAKLAND ST,CHANDLER,MARICOPA,85225,NO,,PUBLIC,137,99%,1%,100%,92%,4%,100%,92%,4%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
CHAPARRAL ELEMENTARY SCHOOL,3808 W JOAN DE ARC,PHOENIX,MARICOPA,85029,NO,,PUBLIC,71,97%,3%,100%,96%,4%,100%,94%,6%,100%,96%,4%,100%,97%,3%,100%,99%,1%,100%,97%,3%,100%,8%,8%,1%
CHAPARRAL MIDDLE SCHOOL,3700 E ALVORD RD,TUCSON,PIMA,,YES,RN,PUBLIC,182,99%,0%,99%,99%,0%,99%,98%,0%,98%,100%,0%,100%,100%,0%,100%,99%,0%,99%,99%,0%,99%,0%,0%,0%
CHARLOTTE PATTERSON ELEMENTARY,7520 S ADORA BLVD,GILBERT,MARICOPA,85298,NO,,PUBLIC,149,96%,4%,100%,91%,6%,100%,90%,7%,100%,96%,4%,100%,95%,5%,100%,96%,4%,100%,96%,4%,100%,10%,0%,4%
CHEATHAM ELEMENTARY SCHOOL,4725 W SOUTH MOUNTAIN AVE,LAVEEN,MARICOPA,85339,NO,,PUBLIC,91,98%,2%,100%,93%,2%,100%,93%,2%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,2%,0%,1%
CHEYENNE ELEMENTARY SCHOOL,11806 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,85,99%,0%,100%,95%,4%,99%,95%,4%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,5%,0%,0%
CHEYENNE TRADITIONAL ELEMENTARY SCHOOL,11130 E CHOLLA ST,SCOTTSDALE,MARICOPA,85260,YES,RN,PUBLIC,107,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,97%,3%,100%,97%,3%,100%,4%,1%,3%
CHILDREN FIRST ACADEMY - PHOENIX,1648 S 16TH ST,PHOENIX,MARICOPA,85034,NO,,CHARTER,36,100%,0%,100%,97%,0%,97%,97%,0%,97%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CHILDREN REACHING FOR THE SKY PREPARATORY,1844 S ALVERNON WAY,TUCSON,PIMA,85711,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHRIST LUTHERAN PRESCHOOL,3901 EAST INDIAN SCHOOL ROAD,PHOENIX,MARICOPA,85018,YES,RN,PRIVATE,53,96%,4%,100%,98%,2%,100%,91%,9%,100%,98%,2%,100%,98%,2%,100%,94%,6%,100%,98%,2%,100%,9%,2%,2%
